constituency_number,alliance,party,candidate
1,SPA,DMK,T. J. Govindrajan
1,AIADMK+,AIADMK,V. Sudhakar
2,SPA,INC,
2,AIADMK+,AIADMK,Siruniam P. Balaraman
3,SPA,DMDK,D. Krishnamoorthy
3,AIADMK+,AIADMK,G. Hari
4,SPA,DMK,V. G. Raajendran
4,AIADMK+,AIADMK,B. V. Ramana
5,SPA,DMK,A. Krishnaswamy
5,AIADMK+,AMMK,T. A. Elumalai
6,SPA,DMK,S. M. Nasar
6,AIADMK+,BJP,
7,SPA,DMK,K. Ganapathy
7,AIADMK+,AIADMK,P. Benjamin
8,SPA,DMK,Dr. A. P. Poornima
8,AIADMK+,PMK,K. N. Sekar
9,SPA,DMK,S. Sudharsanam
9,AIADMK+,AIADMK,V. Moorthy
10,SPA,CPI(M),
10,AIADMK+,AIADMK,K. Kuppan
11,SPA,DMK,J. John Ebenezer
11,AIADMK+,AIADMK,R. S. Rajesh
12,SPA,DMK,R. D. Shekar
12,AIADMK+,PMK,
13,SPA,DMK,M. K. Stalin
13,AIADMK+,AIADMK,P. Santhana Krishnan
14,SPA,DMK,Karthik Mohan
14,AIADMK+,AIADMK,S. R. Vijayakumar
15,SPA,DMK,K. S. Ravichandran
15,AIADMK+,AIADMK,Porkodi Armstrong
16,SPA,DMK,Tamilan Prasanna
16,AIADMK+,AIADMK,Abishek Rengasamy
17,SPA,DMK,Dr. Subair Khan
17,AIADMK+,AIADMK,D. Jayakumar
18,SPA,DMK,P. K. Sekar Babu
18,AIADMK+,AIADMK,R. Manohar
19,SPA,DMK,Udhayanidhi Stalin
19,AIADMK+,AIADMK,Adhi Rajaram
20,SPA,DMK,Ezhilan Naganathan
20,AIADMK+,AIADMK,B. Valarmathi
21,SPA,DMK,N. Chitrarasu
21,AIADMK+,AIADMK,Gokula Indira
22,SPA,DMK,A. M. V. Prabhakara Raja
22,AIADMK+,AIADMK,V. N. Ravi
23,SPA,DMK,Ma. Subramanian
23,AIADMK+,AMMK,G. Senthamizhan
24,SPA,DMK,Raja Anbalagan
24,AIADMK+,AIADMK,B. Sathyanarayanan
25,SPA,DMK,Dha. Velu
25,AIADMK+,BJP,Tamilisai Soundararajan
26,SPA,INC,
26,AIADMK+,AIADMK,M. K. Ashok
27,SPA,DMK,S. Aravind Ramesh
27,AIADMK+,AIADMK,K. P. Kandan
28,SPA,DMK,T. M. Anbarasan
28,AIADMK+,AIADMK,S. Saravanan
29,SPA,INC,
29,AIADMK+,AIADMK,K. Palani
30,SPA,DMDK,D. Murugesan
30,AIADMK+,AIADMK,Venkatesan
31,SPA,DMK,Dr. R.S. Krithika Devi
31,AIADMK+,AIADMK,Chitlapakkam S. Rajendran
32,SPA,DMK,M. K. T. Karthik Dhandapani
32,AIADMK+,AIADMK,M. Gajendran
33,SPA,VCK,
33,AIADMK+,PMK,
34,SPA,VCK,
34,AIADMK+,AIADMK,E. Rajashekar
35,SPA,DMK,S. Amulu Ponmalar
35,AIADMK+,AIADMK,Maragatham Kumaravel
36,SPA,DMK,K. Sundar
36,AIADMK+,PMK,
37,SPA,DMK,Nithya Sugumar
37,AIADMK+,AIADMK,V. Somasundaram
38,SPA,VCK,
38,AIADMK+,AIADMK,S. Ravi
39,SPA,INC,
39,AIADMK+,PMK,
40,SPA,DMK,Durai Murugan
40,AIADMK+,AIADMK,V. Ramu
41,SPA,DMK,Vinoth Gandhi
41,AIADMK+,BJP,V. M. Karthikeyan
42,SPA,DMK,J. L. Eswarappan
42,AIADMK+,AIADMK,S. M. Sukumar
43,SPA,DMK,P. Karthikeyan
43,AIADMK+,AIADMK,S. R. K. Appu
44,SPA,DMK,A. P. Nandakumar
44,AIADMK+,AIADMK,T. Velazhagan
45,SPA,DMK,Dr. Rajeswari Mohankandhi
45,AIADMK+,AIADMK,M. Jagan Moorthy
46,SPA,DMDK,K. B. Pratap
46,AIADMK+,AIADMK,G. Faridha Purushothaman
47,SPA,IUML,Sayyed Farooq
47,AIADMK+,AIADMK,G. Senthilkumar
48,SPA,DMK,
48,AIADMK+,AIADMK,R. Venkatesan
49,SPA,DMK,Kavitha Dhandapani
49,AIADMK+,AIADMK,K. C. Veeramani
50,SPA,DMK,A. Nallathambi
