name,abbreviation,alliance,color_hex
Dravida Munnetra Kazhagam,DMK,SPA,#E50000
All India Anna Dravida Munnetra Kazhagam,AIADMK,AIADMK+,#1A1A1A
Bharatiya Janata Party,BJP,AIADMK+,#FF6600
Indian National Congress,INC,SPA,#138808
Pattali Makkal Katchi,PMK,AIADMK+,#006400
Viduthalai Chiruthaigal Katchi,VCK,SPA,#0000CD
Communist Party of India (Marxist),CPI(M),SPA,#CC0000
Communist Party of India,CPI,SPA,#DD0000
Marumalarchi Dravida Munnetra Kazhagam,MDMK,SPA,#008000
Desiya Murpokku Dravida Kazhagam,DMDK,SPA,#F5A623
Naam Tamilar Katchi,NTK,,#FF0000
Amma Makkal Munnettra Kazagam,AMMK,AIADMK+,#8B0000
Makkal Needhi Maiam,MNM,SPA,#E50000
Tamilaga Vettri Kazhagam,TVK,,#FF4500
Indian Union Muslim League,IUML,SPA,#006400
All India Majlis-E-Ittehadul Muslimeen,AIMIM,,#2E8B57
Independent,IND,,#888888
